# problem=TPV104
# author=Surendra Nadh Somala
# Date = 03/03/2021; time = 11:01:37
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=4000 m  (w/ 5 GLL nodes)
# time_step=  0.2500000E-02
# location=faultst000dp030
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
# Column #9 = log10 of state variable (log-seconds)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress log-theta
#
  0.3275000E+00  0.3103763E-05  0.9555093E-05  0.7499805E+02  0.5929231E-20  0.1477225E-19  0.1160769E-12 -0.1200000E+03  0.9205743E+01
  0.3300000E+00  0.3151321E-05  0.9549774E-05  0.7500184E+02  0.6140989E-20  0.1568705E-19  0.1230256E-12 -0.1200000E+03  0.9205742E+01
  0.3325000E+00  0.3151512E-05  0.9544516E-05  0.7499805E+02  0.6140989E-20  0.1534824E-19  0.1206658E-12 -0.1200000E+03  0.9205741E+01
  0.3350000E+00  0.3199044E-05  0.9539381E-05  0.7500184E+02  0.6140989E-20  0.1368805E-19  0.1074765E-12 -0.1200000E+03  0.9205741E+01
  0.3375000E+00  0.3199209E-05  0.9534441E-05  0.7499805E+02  0.5929231E-20  0.1548376E-19  0.1223701E-12 -0.1200000E+03  0.9205740E+01
  0.3400000E+00  0.3246716E-05  0.9529756E-05  0.7500184E+02  0.5929231E-20  0.5268545E-19  0.4141923E-12 -0.1200000E+03  0.9205740E+01
  0.3425000E+00  0.3246858E-05  0.9565350E-05  0.7499804E+02  0.6140989E-20  0.8216220E-19  0.6485844E-12 -0.1200000E+03  0.9205739E+01
  0.3450000E+00  0.3294543E-05  0.9561343E-05  0.7500185E+02  0.6564505E-20  0.9517262E-19  0.7469151E-12 -0.1200000E+03  0.9205739E+01
  0.3475000E+00  0.3294665E-05  0.9557758E-05  0.7499804E+02  0.6776264E-20  0.5797094E-19  0.4569791E-12 -0.1200000E+03  0.9205738E+01
  0.3500000E+00  0.3342332E-05  0.9554657E-05  0.7500185E+02  0.6564505E-20  0.2583451E-20  0.2027264E-13 -0.1200000E+03  0.9205738E+01
  0.3525000E+00  0.3342438E-05  0.9552098E-05  0.7499804E+02  0.6564505E-20  0.6867743E-19  0.5424366E-12 -0.1200000E+03  0.9205737E+01
