# problem=TPV104
# author=Surendra Nadh Somala
# Date = 03/03/2021; time = 11:01:37
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=4000 m  (w/ 5 GLL nodes)
# time_step=  0.2500000E-02
# location=faultst000dp120
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
# Column #9 = log10 of state variable (log-seconds)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress log-theta
#
  0.1600000E+00  0.1528006E-05  0.9535655E-05  0.7500188E+02  0.5955700E-22 -0.7335305E-20 -0.5748710E-13 -0.1200000E+03  0.9205777E+01
  0.1625000E+00  0.1527765E-05  0.9529592E-05  0.7499803E+02  0.1124966E-21 -0.1799942E-21 -0.1414014E-14 -0.1200000E+03  0.9205777E+01
  0.1650000E+00  0.1575654E-05  0.9558735E-05  0.7500188E+02  0.6617445E-22 -0.1626303E-20 -0.1279663E-13 -0.1200000E+03  0.9205776E+01
  0.1675000E+00  0.1575558E-05  0.9543228E-05  0.7499804E+02  0.1124966E-21 -0.1942873E-21 -0.1531240E-14 -0.1200000E+03  0.9205775E+01
  0.1700000E+00  0.1623371E-05  0.9563054E-05  0.7500187E+02  0.7940934E-22  0.5251595E-21  0.4128983E-14 -0.1200000E+03  0.9205775E+01
  0.1725000E+00  0.1623374E-05  0.9538357E-05  0.7499805E+02  0.1191140E-21  0.7657178E-20  0.6036098E-13 -0.1200000E+03  0.9205774E+01
  0.1750000E+00  0.1671062E-05  0.9549133E-05  0.7500186E+02  0.1124966E-21 -0.2524158E-20 -0.1982272E-13 -0.1200000E+03  0.9205774E+01
  0.1775000E+00  0.1671119E-05  0.9555488E-05  0.7499805E+02  0.1058791E-21 -0.1338312E-19 -0.1050662E-12 -0.1200000E+03  0.9205773E+01
  0.1800000E+00  0.1718840E-05  0.9557483E-05  0.7500186E+02  0.5293956E-22  0.2541099E-20  0.1992167E-13 -0.1200000E+03  0.9205773E+01
  0.1825000E+00  0.1718907E-05  0.9555193E-05  0.7499805E+02  0.1323489E-21 -0.3362719E-20 -0.2652429E-13 -0.1200000E+03  0.9205772E+01
  0.1850000E+00  0.1766616E-05  0.9548683E-05  0.7500186E+02  0.5293956E-22 -0.1428098E-19 -0.1124796E-12 -0.1200000E+03  0.9205772E+01
  0.1875000E+00  0.1766650E-05  0.9538034E-05  0.7499805E+02  0.6617445E-22 -0.1300195E-20 -0.1020586E-13 -0.1200000E+03  0.9205771E+01
  0.1900000E+00  0.1814306E-05  0.9563272E-05  0.7500185E+02  0.5293956E-22 -0.1303160E-19 -0.1021272E-12 -0.1200000E+03  0.9205771E+01
  0.1925000E+00  0.1814466E-05  0.9544548E-05  0.7499805E+02  0.1323489E-22 -0.2094289E-19 -0.1648402E-12 -0.1200000E+03  0.9205770E+01
  0.1950000E+00  0.1862029E-05  0.9561850E-05  0.7500185E+02 -0.5293956E-22  0.3849763E-20  0.3020898E-13 -0.1200000E+03  0.9205770E+01
  0.1975000E+00  0.1862276E-05  0.9535333E-05  0.7499806E+02  0.3970467E-22 -0.2190427E-19 -0.1716465E-12 -0.1200000E+03  0.9205770E+01
  0.2000000E+00  0.1909705E-05  0.9544995E-05  0.7500184E+02 -0.1522012E-21  0.2402185E-19  0.1888164E-12 -0.1200000E+03  0.9205769E+01
  0.2025000E+00  0.1910001E-05  0.9550950E-05  0.7499806E+02  0.1522012E-21  0.1301043E-19  0.1023990E-12 -0.1200000E+03  0.9205769E+01
  0.2050000E+00  0.1957460E-05  0.9553260E-05  0.7500184E+02 -0.9264423E-22 -0.8097639E-20 -0.6338604E-13 -0.1200000E+03  0.9205768E+01
  0.2075000E+00  0.1957767E-05  0.9552005E-05  0.7499806E+02  0.1124966E-21  0.7775763E-20  0.6089680E-13 -0.1200000E+03  0.9205768E+01
  0.2100000E+00  0.2005220E-05  0.9547252E-05  0.7500184E+02 -0.4963084E-22 -0.1143493E-20 -0.8982931E-14 -0.1200000E+03  0.9205767E+01
  0.2125000E+00  0.2005503E-05  0.9539087E-05  0.7499806E+02  0.1091878E-21  0.7572477E-20  0.5968377E-13 -0.1200000E+03  0.9205767E+01
  0.2150000E+00  0.2052915E-05  0.9567534E-05  0.7500183E+02 -0.9926167E-23 -0.1844838E-19 -0.1449673E-12 -0.1200000E+03  0.9205766E+01
  0.2175000E+00  0.2053340E-05  0.9552747E-05  0.7499807E+02  0.1654361E-22  0.1866861E-19  0.1472921E-12 -0.1200000E+03  0.9205766E+01
  0.2200000E+00  0.2100679E-05  0.9534760E-05  0.7500183E+02  0.7940934E-22  0.2612250E-19  0.2052958E-12 -0.1200000E+03  0.9205765E+01
  0.2225000E+00  0.2101014E-05  0.9553620E-05  0.7499806E+02  0.1389663E-21 -0.1758440E-19 -0.1379509E-12 -0.1200000E+03  0.9205764E+01
  0.2250000E+00  0.2148447E-05  0.9529477E-05  0.7500184E+02 -0.1323489E-22  0.1023216E-19  0.8056052E-13 -0.1200000E+03  0.9205764E+01
  0.2275000E+00  0.2148662E-05  0.9542333E-05  0.7499805E+02  0.2117582E-21  0.2922268E-20  0.2295711E-13 -0.1200000E+03  0.9205763E+01
  0.2300000E+00  0.2196158E-05  0.9552296E-05  0.7500184E+02  0.2646978E-22 -0.2229391E-19 -0.1753740E-12 -0.1200000E+03  0.9205763E+01
  0.2325000E+00  0.2196423E-05  0.9559433E-05  0.7499805E+02  0.5293956E-22 -0.1250220E-19 -0.9882178E-13 -0.1200000E+03  0.9205762E+01
  0.2350000E+00  0.2243956E-05  0.9563817E-05  0.7500184E+02 -0.5293956E-22  0.2744387E-19  0.2153311E-12 -0.1200000E+03  0.9205762E+01
  0.2375000E+00  0.2244242E-05  0.9565520E-05  0.7499805E+02  0.2117582E-21 -0.1036768E-19 -0.8155128E-13 -0.1200000E+03  0.9205761E+01
  0.2400000E+00  0.2291783E-05  0.9564616E-05  0.7500184E+02 -0.1058791E-21 -0.3089976E-19 -0.2413034E-12 -0.1200000E+03  0.9205761E+01
  0.2425000E+00  0.2292065E-05  0.9561179E-05  0.7499805E+02  0.5293956E-22  0.1362029E-19  0.1070679E-12 -0.1200000E+03  0.9205760E+01
  0.2450000E+00  0.2339589E-05  0.9555291E-05  0.7500184E+02 -0.1058791E-21 -0.2120971E-19 -0.1668405E-12 -0.1200000E+03  0.9205760E+01
  0.2475000E+00  0.2339842E-05  0.9547033E-05  0.7499805E+02 -0.1058791E-21  0.6166400E-20  0.4843815E-13 -0.1200000E+03  0.9205759E+01
  0.2500000E+00  0.2387324E-05  0.9536485E-05  0.7500184E+02 -0.1058791E-21 -0.4743385E-19 -0.3726990E-12 -0.1200000E+03  0.9205758E+01
  0.2525000E+00  0.2387524E-05  0.9563681E-05  0.7499805E+02 -0.3176374E-21 -0.2032879E-19 -0.1596454E-12 -0.1200000E+03  0.9205758E+01
  0.2550000E+00  0.2435143E-05  0.9548769E-05  0.7500185E+02 -0.1058791E-21  0.5370192E-20  0.4233492E-13 -0.1200000E+03  0.9205757E+01
  0.2575000E+00  0.2435268E-05  0.9531790E-05  0.7499805E+02 -0.2117582E-21 -0.4675622E-20 -0.3678218E-13 -0.1200000E+03  0.9205757E+01
  0.2600000E+00  0.2482802E-05  0.9552786E-05  0.7500184E+02 -0.2117582E-21  0.1439956E-19  0.1135638E-12 -0.1200000E+03  0.9205756E+01
  0.2625000E+00  0.2483032E-05  0.9531910E-05  0.7499805E+02 -0.2117582E-21 -0.2385245E-19 -0.1870973E-12 -0.1200000E+03  0.9205756E+01
  0.2650000E+00  0.2530461E-05  0.9549157E-05  0.7500183E+02 -0.2117582E-21 -0.9656177E-20 -0.7574232E-13 -0.1200000E+03  0.9205755E+01
  0.2675000E+00  0.2530778E-05  0.9564636E-05  0.7499805E+02 -0.2117582E-21 -0.2012550E-19 -0.1574408E-12 -0.1200000E+03  0.9205755E+01
  0.2700000E+00  0.2578284E-05  0.9538456E-05  0.7500184E+02 -0.4235165E-21  0.1890578E-19  0.1481453E-12 -0.1200000E+03  0.9205754E+01
  0.2725000E+00  0.2578470E-05  0.9550623E-05  0.7499805E+02 -0.2117582E-21 -0.1721170E-19 -0.1345520E-12 -0.1200000E+03  0.9205754E+01
  0.2750000E+00  0.2626037E-05  0.9561239E-05  0.7500184E+02 -0.4235165E-21 -0.2498745E-20 -0.1964880E-13 -0.1200000E+03  0.9205753E+01
  0.2775000E+00  0.2626276E-05  0.9530428E-05  0.7499805E+02  0.0000000E+00 -0.4906015E-19 -0.3863625E-12 -0.1200000E+03  0.9205752E+01
  0.2800000E+00  0.2673689E-05  0.9538186E-05  0.7500183E+02 -0.6352747E-21 -0.6613633E-19 -0.5203855E-12 -0.1200000E+03  0.9205752E+01
  0.2825000E+00  0.2673967E-05  0.9544627E-05  0.7499805E+02 -0.4235165E-21 -0.4607859E-19 -0.3638023E-12 -0.1200000E+03  0.9205751E+01
  0.2850000E+00  0.2721412E-05  0.9549819E-05  0.7500183E+02 -0.8470329E-21 -0.5353248E-19 -0.4202268E-12 -0.1200000E+03  0.9205751E+01
  0.2875000E+00  0.2721716E-05  0.9553832E-05  0.7499805E+02 -0.8470329E-21 -0.3428789E-19 -0.2698420E-12 -0.1200000E+03  0.9205750E+01
  0.2900000E+00  0.2769181E-05  0.9556734E-05  0.7500183E+02 -0.8470329E-21 -0.5881797E-19 -0.4619692E-12 -0.1200000E+03  0.9205750E+01
  0.2925000E+00  0.2769499E-05  0.9558598E-05  0.7499805E+02 -0.4235165E-21 -0.7426785E-19 -0.5848604E-12 -0.1200000E+03  0.9205750E+01
  0.2950000E+00  0.2816974E-05  0.9559492E-05  0.7500183E+02 -0.1270549E-20  0.2005773E-19  0.1576527E-12 -0.1200000E+03  0.9205750E+01
  0.2975000E+00  0.2817297E-05  0.9559488E-05  0.7499805E+02 -0.8470329E-21 -0.1362028E-19 -0.1074141E-12 -0.1200000E+03  0.9205749E+01
  0.3000000E+00  0.2864771E-05  0.9558656E-05  0.7500183E+02 -0.1270549E-20  0.1544987E-19  0.1212958E-12 -0.1200000E+03  0.9205749E+01
  0.3025000E+00  0.2865090E-05  0.9557067E-05  0.7499805E+02 -0.8470329E-21 -0.5573465E-20 -0.4378074E-13 -0.1200000E+03  0.9205748E+01
  0.3050000E+00  0.2912557E-05  0.9554792E-05  0.7500183E+02 -0.1694066E-20  0.5190618E-19  0.4074760E-12 -0.1200000E+03  0.9205747E+01
  0.3075000E+00  0.2912864E-05  0.9551906E-05  0.7499805E+02 -0.8470329E-21 -0.6261266E-19 -0.4913018E-12 -0.1200000E+03  0.9205747E+01
  0.3100000E+00  0.2960316E-05  0.9548475E-05  0.7500183E+02 -0.2541099E-20  0.9757784E-20  0.7650322E-13 -0.1200000E+03  0.9205746E+01
  0.3125000E+00  0.2960606E-05  0.9544576E-05  0.7499805E+02 -0.1270549E-20  0.3510105E-19  0.2750502E-12 -0.1200000E+03  0.9205746E+01
  0.3150000E+00  0.3008039E-05  0.9540273E-05  0.7500183E+02 -0.2541099E-20  0.1517882E-19  0.1200821E-12 -0.1200000E+03  0.9205745E+01
  0.3175000E+00  0.3008308E-05  0.9535644E-05  0.7499805E+02 -0.1270549E-20 -0.5742856E-20 -0.4510619E-13 -0.1200000E+03  0.9205745E+01
  0.3200000E+00  0.3055718E-05  0.9530757E-05  0.7500183E+02 -0.2541099E-20  0.5217700E-20  0.4087084E-13 -0.1200000E+03  0.9205744E+01
  0.3225000E+00  0.3055961E-05  0.9565631E-05  0.7499805E+02 -0.1694066E-20  0.5515878E-19  0.4313939E-12 -0.1200000E+03  0.9205744E+01
  0.3250000E+00  0.3103546E-05  0.9560402E-05  0.7500184E+02 -0.2541099E-20  0.3943785E-19  0.3101053E-12 -0.1200000E+03  0.9205743E+01
  0.3275000E+00  0.3103763E-05  0.9555094E-05  0.7499805E+02 -0.8470329E-21  0.5149975E-20  0.4063993E-13 -0.1200000E+03  0.9205743E+01
  0.3300000E+00  0.3151321E-05  0.9549774E-05  0.7500184E+02 -0.1694066E-20  0.4011547E-19  0.3157979E-12 -0.1200000E+03  0.9205742E+01
  0.3325000E+00  0.3151512E-05  0.9544517E-05  0.7499805E+02 -0.8470329E-21  0.5407461E-19  0.4253881E-12 -0.1200000E+03  0.9205741E+01
  0.3350000E+00  0.3199044E-05  0.9539383E-05  0.7500184E+02 -0.2541099E-20 -0.4906016E-19 -0.3851455E-12 -0.1200000E+03  0.9205741E+01
  0.3375000E+00  0.3199209E-05  0.9534442E-05  0.7499805E+02 -0.1694066E-20 -0.3482999E-19 -0.2737091E-12 -0.1200000E+03  0.9205740E+01
  0.3400000E+00  0.3246716E-05  0.9529758E-05  0.7500184E+02 -0.2541099E-20 -0.5014446E-20 -0.3928790E-13 -0.1200000E+03  0.9205740E+01
