 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 08/03/2016; time = 16:51:48
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=  2.0000001E-03
 # location=faultst000dp075
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
 # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stres
 s
 #
  0.9400000E-01  0.1245110E-01  0.1542669E+00  0.8067223E+02 -0.2193637E-11 -0.5267288E-09 -0.2754471E-06 -0.1200000E+03
  0.9600000E-01  0.1275963E-01  0.1544359E+00  0.8065810E+02 -0.2930628E-11 -0.6654295E-09 -0.3475377E-06 -0.1199999E+03
  0.9800000E-01  0.1306884E-01  0.1549596E+00  0.8064408E+02 -0.4855359E-11 -0.7263290E-09 -0.3779964E-06 -0.1200000E+03
  0.1000000E+00  0.1337947E-01  0.1558646E+00  0.8062981E+02 -0.5835949E-11 -0.7404978E-09 -0.3830646E-06 -0.1199999E+03
  0.1020000E+00  0.1369230E-01  0.1571740E+00  0.8061564E+02 -0.7817357E-11 -0.8839310E-09 -0.4533743E-06 -0.1200000E+03
  0.1040000E+00  0.1400816E-01  0.1589093E+00  0.8060112E+02 -0.9371683E-11 -0.8898974E-09 -0.4513687E-06 -0.1199999E+03
  0.1060000E+00  0.1432794E-01  0.1610886E+00  0.8058665E+02 -0.1137695E-10 -0.9699721E-09 -0.4852404E-06 -0.1200000E+03
  0.1080000E+00  0.1465252E-01  0.1637276E+00  0.8057175E+02 -0.1325158E-10 -0.1086100E-08 -0.5344795E-06 -0.1199999E+03
  0.1100000E+00  0.1498285E-01  0.1668396E+00  0.8055679E+02 -0.1572137E-10 -0.1100804E-08 -0.5315116E-06 -0.1200000E+03
  0.1120000E+00  0.1531988E-01  0.1704353E+00  0.8054132E+02 -0.1765480E-10 -0.1144807E-08 -0.5409923E-06 -0.1199999E+03
  0.1140000E+00  0.1566459E-01  0.1745224E+00  0.8052570E+02 -0.2030061E-10 -0.1063867E-08 -0.4908749E-06 -0.1200000E+03
  0.1160000E+00  0.1601796E-01  0.1791056E+00  0.8050949E+02 -0.2191028E-10 -0.8851732E-09 -0.3978927E-06 -0.1199999E+03
  0.1180000E+00  0.1638101E-01  0.1841871E+00  0.8049303E+02 -0.2384130E-10 -0.8269027E-09 -0.3613711E-06 -0.1200000E+03
  0.1200000E+00  0.1675471E-01  0.1897662E+00  0.8047589E+02 -0.2521789E-10 -0.8556681E-09 -0.3628710E-06 -0.1199999E+03
  0.1220000E+00  0.1714007E-01  0.1958394E+00  0.8045840E+02 -0.2726398E-10 -0.7399590E-09 -0.3040039E-06 -0.1200000E+03
  0.1240000E+00  0.1753807E-01  0.2024007E+00  0.8044016E+02 -0.2817774E-10 -0.6611379E-09 -0.2627560E-06 -0.1199998E+03
  0.1260000E+00  0.1794968E-01  0.2094402E+00  0.8042152E+02 -0.2990854E-10 -0.5456517E-09 -0.2095211E-06 -0.1200000E+03
  0.1280000E+00  0.1837583E-01  0.2169467E+00  0.8040199E+02 -0.3036035E-10 -0.2905186E-09 -0.1076682E-06 -0.1199998E+03
  0.1300000E+00  0.1881746E-01  0.2249068E+00  0.8038194E+02 -0.3107061E-10 -0.1592951E-09 -0.5693220E-07 -0.1200000E+03
  0.1320000E+00  0.1927546E-01  0.2333045E+00  0.8036094E+02 -0.3099753E-10 -0.7413144E-10 -0.2553431E-07 -0.1199998E+03
  0.1340000E+00  0.1975068E-01  0.2421210E+00  0.8033939E+02 -0.3136714E-10 -0.2913285E-10 -0.9666717E-08 -0.1200000E+03
  0.1360000E+00  0.2024394E-01  0.2513355E+00  0.8031677E+02 -0.3111407E-10  0.8750441E-10  0.2796289E-07 -0.1199998E+03
  0.1380000E+00  0.2075602E-01  0.2609255E+00  0.8029355E+02 -0.3101713E-10  0.1430683E-09  0.4402583E-07 -0.1200000E+03
  0.1400000E+00  0.2128764E-01  0.2708668E+00  0.8026920E+02 -0.3054179E-10 -0.1858572E-10 -0.5507726E-08 -0.1199999E+03
  0.1420000E+00  0.2183949E-01  0.2811334E+00  0.8024416E+02 -0.3109148E-10  0.6735909E-10  0.1922637E-07 -0.1200001E+03
  0.1440000E+00  0.2241218E-01  0.2916982E+00  0.8021792E+02 -0.3027236E-10 -0.3155687E-10 -0.8678232E-08 -0.1199999E+03
  0.1460000E+00  0.2300628E-01  0.3025329E+00  0.8019096E+02 -0.3121771E-10 -0.1243760E-09 -0.3296777E-07 -0.1200001E+03
  0.1480000E+00  0.2362231E-01  0.3136079E+00  0.8016276E+02 -0.3076986E-10 -0.1914550E-10 -0.4893866E-08 -0.1199999E+03
  0.1500000E+00  0.2426072E-01  0.3248935E+00  0.8013377E+02 -0.3129428E-10 -0.6297210E-10 -0.1553183E-07 -0.1200001E+03
  0.1520000E+00  0.2492188E-01  0.3363594E+00  0.8010349E+02 -0.3102175E-10 -0.3858678E-09 -0.9189386E-07 -0.1199999E+03
  0.1540000E+00  0.2560615E-01  0.3479746E+00  0.8007243E+02 -0.3283776E-10 -0.8070113E-09 -0.1857014E-06 -0.1200001E+03
  0.1560000E+00  0.2631378E-01  0.3597083E+00  0.8004004E+02 -0.3424980E-10 -0.5406830E-09 -0.1203094E-06 -0.1199999E+03
  0.1580000E+00  0.2704499E-01  0.3715300E+00  0.8000684E+02 -0.3500049E-10 -0.1521720E-08 -0.3276937E-06 -0.1200001E+03
  0.1600000E+00  0.2779990E-01  0.3834100E+00  0.7997227E+02 -0.4033669E-10 -0.2583018E-08 -0.5387702E-06 -0.1199999E+03
  0.1620000E+00  0.2857863E-01  0.3953187E+00  0.7993692E+02 -0.4533257E-10 -0.3143900E-08 -0.6357240E-06 -0.1200002E+03
  0.1640000E+00  0.2938118E-01  0.4072276E+00  0.7990017E+02 -0.5291230E-10 -0.4532041E-08 -0.8892094E-06 -0.1199999E+03
  0.1660000E+00  0.3020754E-01  0.4191094E+00  0.7986266E+02 -0.6346074E-10 -0.5293693E-08 -0.1008731E-05 -0.1200002E+03
  0.1680000E+00  0.3105761E-01  0.4309379E+00  0.7982375E+02 -0.7408709E-10 -0.6379713E-08 -0.1181731E-05 -0.1200000E+03
  0.1700000E+00  0.3193129E-01  0.4426894E+00  0.7978406E+02 -0.8897962E-10 -0.6970636E-08 -0.1256289E-05 -0.1200002E+03
  0.1720000E+00  0.3282837E-01  0.4543409E+00  0.7974301E+02 -0.1019696E-09 -0.6966998E-08 -0.1222803E-05 -0.1200000E+03
  0.1740000E+00  0.3374865E-01  0.4658714E+00  0.7970122E+02 -0.1168476E-09 -0.7271122E-08 -0.1243943E-05 -0.1200002E+03
  0.1760000E+00  0.3469186E-01  0.4772624E+00  0.7965806E+02 -0.1310542E-09 -0.7406658E-08 -0.1236217E-05 -0.1200000E+03
  0.1780000E+00  0.3565770E-01  0.4884979E+00  0.7961417E+02 -0.1464743E-09 -0.8000050E-08 -0.1303828E-05 -0.1200002E+03
  0.1800000E+00  0.3664585E-01  0.4995638E+00  0.7956896E+02 -0.1630544E-09 -0.7748316E-08 -0.1234127E-05 -0.1200000E+03
  0.1820000E+00  0.3765596E-01  0.5104486E+00  0.7952305E+02 -0.1774676E-09 -0.7326502E-08 -0.1141399E-05 -0.1200003E+03
  0.1840000E+00  0.3868765E-01  0.5211433E+00  0.7947585E+02 -0.1923604E-09 -0.6268212E-08 -0.9559201E-06 -0.1200000E+03
  0.1860000E+00  0.3974053E-01  0.5316413E+00  0.7942801E+02 -0.2025404E-09 -0.5329255E-08 -0.7961988E-06 -0.1200003E+03
  0.1880000E+00  0.4081421E-01  0.5419391E+00  0.7937889E+02 -0.2136774E-09 -0.5010030E-08 -0.7338293E-06 -0.1200000E+03
  0.1900000E+00  0.4190829E-01  0.5520358E+00  0.7932915E+02 -0.2225805E-09 -0.5041153E-08 -0.7244280E-06 -0.1200003E+03
  0.1920000E+00  0.4302236E-01  0.5619330E+00  0.7927820E+02 -0.2338420E-09 -0.3578986E-08 -0.5049280E-06 -0.1200000E+03
  0.1940000E+00  0.4415602E-01  0.5716352E+00  0.7922665E+02 -0.2368965E-09 -0.3521557E-08 -0.4880755E-06 -0.1200003E+03
  0.1960000E+00  0.4530890E-01  0.5811493E+00  0.7917393E+02 -0.2479283E-09 -0.2410739E-08 -0.3284314E-06 -0.1200000E+03
  0.1980000E+00  0.4648062E-01  0.5904849E+00  0.7912067E+02 -0.2465395E-09 -0.9566266E-09 -0.1281809E-06 -0.1200003E+03
  0.2000000E+00  0.4767084E-01  0.5996539E+00  0.7906623E+02 -0.2517548E-09 -0.9599174E-09 -0.1265681E-06 -0.1200000E+03
  0.2020000E+00  0.4887924E-01  0.6086717E+00  0.7901126E+02 -0.2503792E-09 -0.3268302E-09 -0.4242559E-07 -0.1200003E+03
  0.2040000E+00  0.5010553E-01  0.6175545E+00  0.7895522E+02 -0.2530621E-09  0.3777598E-09  0.4829715E-07 -0.1200000E+03
  0.2060000E+00  0.5134946E-01  0.6263218E+00  0.7889862E+02 -0.2488681E-09  0.2485186E-08  0.3130624E-06 -0.1200002E+03
  0.2080000E+00  0.5261081E-01  0.6349948E+00  0.7884097E+02 -0.2431214E-09  0.4071199E-08  0.5054801E-06 -0.1200000E+03
  0.2100000E+00  0.5388944E-01  0.6435969E+00  0.7878278E+02 -0.2325833E-09  0.5389822E-08  0.6597687E-06 -0.1200002E+03
  0.2120000E+00  0.5518520E-01  0.6521530E+00  0.7872357E+02 -0.2215621E-09  0.5228605E-08  0.6311625E-06 -0.1200000E+03
  0.2140000E+00  0.5649805E-01  0.6606895E+00  0.7866383E+02 -0.2116688E-09  0.6017939E-08  0.7165153E-06 -0.1200002E+03
  0.2160000E+00  0.5782796E-01  0.6692344E+00  0.7860305E+02 -0.1974903E-09  0.8073290E-08  0.9482258E-06 -0.1200000E+03
  0.2180000E+00  0.5917499E-01  0.6778172E+00  0.7854173E+02 -0.1793757E-09  0.8462144E-08  0.9805469E-06 -0.1200002E+03
  0.2200000E+00  0.6053923E-01  0.6864676E+00  0.7847940E+02 -0.1636417E-09  0.8917809E-08  0.1019515E-05 -0.1200000E+03
  0.2220000E+00  0.6192086E-01  0.6952170E+00  0.7841650E+02 -0.1437044E-09  0.9346503E-08  0.1054232E-05 -0.1200001E+03
  0.2240000E+00  0.6332009E-01  0.7040970E+00  0.7835258E+02 -0.1262557E-09  0.8473096E-08  0.9428944E-06 -0.1200000E+03
  0.2260000E+00  0.6473725E-01  0.7131398E+00  0.7828806E+02 -0.1098120E-09  0.9552686E-08  0.1048688E-05 -0.1200001E+03
  0.2280000E+00  0.6617265E-01  0.7223775E+00  0.7822250E+02 -0.8804490E-10  0.1008346E-07  0.1091885E-05 -0.1199999E+03
  0.2300000E+00  0.6762675E-01  0.7318429E+00  0.7815627E+02 -0.6947814E-10  0.9606073E-08  0.1025868E-05 -0.1200001E+03
  0.2320000E+00  0.6910003E-01  0.7415682E+00  0.7808899E+02 -0.4962058E-10  0.1071461E-07  0.1128275E-05 -0.1199999E+03
  0.2340000E+00  0.7059303E-01  0.7515856E+00  0.7802098E+02 -0.2661970E-10  0.1061025E-07  0.1101434E-05 -0.1200001E+03
  0.2360000E+00  0.7210637E-01  0.7619269E+00  0.7795187E+02 -0.7179590E-11  0.1091049E-07  0.1116240E-05 -0.1199999E+03
  0.2380000E+00  0.7364073E-01  0.7726223E+00  0.7788200E+02  0.1702227E-10  0.1005662E-07  0.1013729E-05 -0.1200000E+03
  0.2400000E+00  0.7519685E-01  0.7837023E+00  0.7781091E+02  0.3304690E-10  0.6879726E-08  0.6830626E-06 -0.1199998E+03
  0.2420000E+00  0.7677554E-01  0.7951959E+00  0.7773903E+02  0.4454120E-10  0.6049720E-08  0.5914258E-06 -0.1200000E+03
  0.2440000E+00  0.7837764E-01  0.8071308E+00  0.7766586E+02  0.5724582E-10  0.6161361E-08  0.5928748E-06 -0.1199998E+03
  0.2460000E+00  0.8000407E-01  0.8195338E+00  0.7759180E+02  0.6918665E-10  0.4954428E-08  0.4690752E-06 -0.1200000E+03
  0.2480000E+00  0.8165578E-01  0.8324307E+00  0.7751634E+02  0.7706352E-10  0.4447204E-08  0.4141257E-06 -0.1199998E+03
  0.2500000E+00  0.8333379E-01  0.8458453E+00  0.7743993E+02  0.8697545E-10  0.3974279E-08  0.3638583E-06 -0.1199999E+03
  0.2520000E+00  0.8503916E-01  0.8597998E+00  0.7736205E+02  0.9296062E-10  0.2117942E-08  0.1905657E-06 -0.1199997E+03
  0.2540000E+00  0.8677299E-01  0.8743148E+00  0.7728309E+02  0.9544721E-10  0.7715513E-09  0.6819953E-07 -0.1199999E+03
  0.2560000E+00  0.8853642E-01  0.8894094E+00  0.7720258E+02  0.9604682E-10  0.7263016E-09  0.6304449E-07 -0.1199997E+03
  0.2580000E+00  0.9033062E-01  0.9051008E+00  0.7712085E+02  0.9835243E-10  0.6435451E-09  0.5483448E-07 -0.1199999E+03
  0.2600000E+00  0.9215682E-01  0.9214047E+00  0.7703745E+02  0.9862102E-10  0.7237156E-09  0.6050894E-07 -0.1199997E+03
  0.2620000E+00  0.9401625E-01  0.9383349E+00  0.7695276E+02  0.1012473E-09 -0.1236460E-08 -0.1014019E-06 -0.1199998E+03
  0.2640000E+00  0.9591016E-01  0.9559025E+00  0.7686630E+02  0.9367512E-10 -0.2162478E-08 -0.1738898E-06 -0.1199997E+03
  0.2660000E+00  0.9783986E-01  0.9741176E+00  0.7677839E+02  0.9259731E-10  0.1748298E-08  0.1377980E-06 -0.1199998E+03
  0.2680000E+00  0.9980664E-01  0.9929883E+00  0.7668861E+02  0.1006683E-09  0.4433867E-08  0.3424281E-06 -0.1199997E+03
  0.2700000E+00  0.1018118E+00  0.1012521E+01  0.7659727E+02  0.1103328E-09  0.3562576E-08  0.2695091E-06 -0.1199998E+03
  0.2720000E+00  0.1038567E+00  0.1032720E+01  0.7650391E+02  0.1149186E-09  0.1177236E-08  0.8720969E-07 -0.1199997E+03
  0.2740000E+00  0.1059427E+00  0.1053587E+01  0.7640891E+02  0.1150417E-09  0.3103467E-09  0.2250717E-07 -0.1199998E+03
  0.2760000E+00  0.1080711E+00  0.1075123E+01  0.7631176E+02  0.1161601E-09  0.4288849E-09  0.3044206E-07 -0.1199997E+03
  0.2780000E+00  0.1102432E+00  0.1097327E+01  0.7621281E+02  0.1167574E-09  0.4248957E-10  0.2951034E-08 -0.1199998E+03
  0.2800000E+00  0.1124604E+00  0.1120197E+01  0.7611161E+02  0.1163300E-09 -0.2025675E-08 -0.1376342E-06 -0.1199997E+03
  0.2820000E+00  0.1147240E+00  0.1143729E+01  0.7600850E+02  0.1086546E-09 -0.3916796E-08 -0.2602975E-06 -0.1199998E+03
  0.2840000E+00  0.1170353E+00  0.1167917E+01  0.7590300E+02  0.1006628E-09 -0.3301142E-08 -0.2145414E-06 -0.1199997E+03
  0.2860000E+00  0.1193956E+00  0.1192755E+01  0.7579547E+02  0.9545009E-10 -0.4664922E-08 -0.2964396E-06 -0.1199999E+03
  0.2880000E+00  0.1218063E+00  0.1218235E+01  0.7568546E+02  0.8200318E-10 -0.2216455E-08 -0.1377021E-06 -0.1199997E+03
  0.2900000E+00  0.1242686E+00  0.1244346E+01  0.7557327E+02  0.8658418E-10  0.2227797E-08  0.1353015E-06 -0.1199999E+03
  0.2920000E+00  0.1267837E+00  0.1271078E+01  0.7545852E+02  0.9091438E-10  0.2952953E-08  0.1753043E-06 -0.1199997E+03
  0.2940000E+00  0.1293529E+00  0.1298421E+01  0.7534145E+02  0.9839606E-10  0.9904386E-09  0.5747064E-07 -0.1199999E+03
  0.2960000E+00  0.1319774E+00  0.1326361E+01  0.7522169E+02  0.9487610E-10  0.3186294E-08  0.1807038E-06 -0.1199998E+03
  0.2980000E+00  0.1346583E+00  0.1354886E+01  0.7509953E+02  0.1111412E-09  0.3623786E-08  0.2008617E-06 -0.1199999E+03
  0.3000000E+00  0.1373969E+00  0.1383982E+01  0.7497460E+02  0.1093713E-09  0.2232810E-08  0.1209582E-06 -0.1199998E+03
  0.3020000E+00  0.1401943E+00  0.1413635E+01  0.7484713E+02  0.1200725E-09  0.5847807E-08  0.3096214E-06 -0.1200000E+03
  0.3040000E+00  0.1430515E+00  0.1443831E+01  0.7471677E+02  0.1327626E-09  0.5029612E-08  0.2602773E-06 -0.1199999E+03
  0.3060000E+00  0.1459696E+00  0.1474554E+01  0.7458381E+02  0.1401911E-09  0.4506919E-08  0.2279626E-06 -0.1200000E+03
