S.NO.   STATION ID  Major Lat   Minor Lat   LATITUDE    Major Lat   Minor Lat   LONGITUDE
110   T03409L11817      34.0000     9.0000      34.2813     118.0000    17.0000     118.5313
111   T03408L11817      34.0000     8.0000      34.2500     118.0000    17.0000     118.5313
112   T03407L11817      34.0000     7.0000      34.2188     118.0000    17.0000     118.5313
113   T03406L11817      34.0000     6.0000      34.1875     118.0000    17.0000     118.5313
114   T03416L11816      34.0000     16.0000     34.5000     118.0000    16.0000     118.5000
115   T03414L11816      34.0000     14.0000     34.4375     118.0000    16.0000     118.5000
116   T03412L11816      34.0000     12.0000     34.3750     118.0000    16.0000     118.5000
117   T03411L11816      34.0000     11.0000     34.3438     118.0000    16.0000     118.5000
118   T03410L11816      34.0000     10.0000     34.3125     118.0000    16.0000     118.5000
119   T03409L11816      34.0000     9.0000      34.2813     118.0000    16.0000     118.5000
120   T03408L11816      34.0000     8.0000      34.2500     118.0000    16.0000     118.5000
121   T03407L11816      34.0000     7.0000      34.2188     118.0000    16.0000     118.5000
122   T03406L11816      34.0000     6.0000      34.1875     118.0000    16.0000     118.5000
123   T03405L11816      34.0000     5.0000      34.1563     118.0000    16.0000     118.5000
124   T03404L11816      34.0000     4.0000      34.1250     118.0000    16.0000     118.5000
125   T03403L11816      34.0000     3.0000      34.0938     118.0000    16.0000     118.5000
126   T03402L11816      34.0000     2.0000      34.0625     118.0000    16.0000     118.5000
127   T03401L11816      34.0000     1.0000      34.0313     118.0000    16.0000     118.5000
128   T03412L11815      34.0000     12.0000     34.3750     118.0000    15.0000     118.4688
129   T03411L11815      34.0000     11.0000     34.3438     118.0000    15.0000     118.4688
130   T03410L11815      34.0000     10.0000     34.3125     118.0000    15.0000     118.4688
131   T03409L11815      34.0000     9.0000      34.2813     118.0000    15.0000     118.4688
132   T03408L11815      34.0000     8.0000      34.2500     118.0000    15.0000     118.4688
133   T03407L11815      34.0000     7.0000      34.2188     118.0000    15.0000     118.4688
134   T03406L11815      34.0000     6.0000      34.1875     118.0000    15.0000     118.4688
135   T03405L11815      34.0000     5.0000      34.1563     118.0000    15.0000     118.4688
136   T03404L11815      34.0000     4.0000      34.1250     118.0000    15.0000     118.4688
137   T03403L11815      34.0000     3.0000      34.0938     118.0000    15.0000     118.4688
138   T03402L11815      34.0000     2.0000      34.0625     118.0000    15.0000     118.4688
139   T03401L11815      34.0000     1.0000      34.0313     118.0000    15.0000     118.4688
140   T03400L11815      34.0000     0.0000      34.0000     118.0000    15.0000     118.4688
141   T03416L11814      34.0000     16.0000     34.5000     118.0000    14.0000     118.4375
142   T03414L11814      34.0000     14.0000     34.4375     118.0000    14.0000     118.4375
143   T03412L11814      34.0000     12.0000     34.3750     118.0000    14.0000     118.4375
144   T03411L11814      34.0000     11.0000     34.3438     118.0000    14.0000     118.4375
145   T03410L11814      34.0000     10.0000     34.3125     118.0000    14.0000     118.4375
146   T03409L11814      34.0000     9.0000      34.2813     118.0000    14.0000     118.4375
147   T03408L11814      34.0000     8.0000      34.2500     118.0000    14.0000     118.4375
148   T03407L11814      34.0000     7.0000      34.2188     118.0000    14.0000     118.4375
149   T03406L11814      34.0000     6.0000      34.1875     118.0000    14.0000     118.4375
150   T03405L11814      34.0000     5.0000      34.1563     118.0000    14.0000     118.4375
151   T03404L11814      34.0000     4.0000      34.1250     118.0000    14.0000     118.4375
152   T03403L11814      34.0000     3.0000      34.0938     118.0000    14.0000     118.4375
153   T03402L11814      34.0000     2.0000      34.0625     118.0000    14.0000     118.4375
154   T03401L11814      34.0000     1.0000      34.0313     118.0000    14.0000     118.4375
155   T03400L11814      34.0000     0.0000      34.0000     118.0000    14.0000     118.4375
156   T03330L11814      33.0000     30.0000     33.9375     118.0000    14.0000     118.4375
157   T03412L11813      34.0000     12.0000     34.3750     118.0000    13.0000     118.4063
158   T03411L11813      34.0000     11.0000     34.3438     118.0000    13.0000     118.4063
159   T03410L11813      34.0000     10.0000     34.3125     118.0000    13.0000     118.4063
160   T03409L11813      34.0000     9.0000      34.2813     118.0000    13.0000     118.4063
161   T03408L11813      34.0000     8.0000      34.2500     118.0000    13.0000     118.4063
162   T03407L11813      34.0000     7.0000      34.2188     118.0000    13.0000     118.4063
163   T03406L11813      34.0000     6.0000      34.1875     118.0000    13.0000     118.4063
164   T03405L11813      34.0000     5.0000      34.1563     118.0000    13.0000     118.4063
165   T03404L11813      34.0000     4.0000      34.1250     118.0000    13.0000     118.4063
166   T03403L11813      34.0000     3.0000      34.0938     118.0000    13.0000     118.4063
167   T03402L11813      34.0000     2.0000      34.0625     118.0000    13.0000     118.4063
168   T03401L11813      34.0000     1.0000      34.0313     118.0000    13.0000     118.4063
169   T03400L11813      34.0000     0.0000      34.0000     118.0000    13.0000     118.4063
170   T03328L11813      33.0000     28.0000     33.8750     118.0000    13.0000     118.4063
171   T03325L11813      33.0000     25.0000     33.7813     118.0000    13.0000     118.4063
172   T03324L11813      33.0000     24.0000     33.7500     118.0000    13.0000     118.4063
173   T03416L11812      34.0000     16.0000     34.5000     118.0000    12.0000     118.3750
174   T03414L11812      34.0000     14.0000     34.4375     118.0000    12.0000     118.3750
175   T03412L11812      34.0000     12.0000     34.3750     118.0000    12.0000     118.3750
176   T03411L11812      34.0000     11.0000     34.3438     118.0000    12.0000     118.3750
177   T03410L11812      34.0000     10.0000     34.3125     118.0000    12.0000     118.3750
178   T03409L11812      34.0000     9.0000      34.2813     118.0000    12.0000     118.3750
179   T03408L11812      34.0000     8.0000      34.2500     118.0000    12.0000     118.3750
180   T03407L11812      34.0000     7.0000      34.2188     118.0000    12.0000     118.3750
181   T03406L11812      34.0000     6.0000      34.1875     118.0000    12.0000     118.3750
182   T03405L11812      34.0000     5.0000      34.1563     118.0000    12.0000     118.3750
183   T03404L11812      34.0000     4.0000      34.1250     118.0000    12.0000     118.3750
184   T03403L11812      34.0000     3.0000      34.0938     118.0000    12.0000     118.3750
185   T03402L11812      34.0000     2.0000      34.0625     118.0000    12.0000     118.3750
186   T03401L11812      34.0000     1.0000      34.0313     118.0000    12.0000     118.3750
187   T03400L11812      34.0000     0.0000      34.0000     118.0000    12.0000     118.3750
188   T03330L11812      33.0000     30.0000     33.9375     118.0000    12.0000     118.3750
189   T03328L11812      33.0000     28.0000     33.8750     118.0000    12.0000     118.3750
190   T03327L11812      33.0000     27.0000     33.8438     118.0000    12.0000     118.3750
191   T03326L11812      33.0000     26.0000     33.8125     118.0000    12.0000     118.3750
192   T03325L11812      33.0000     25.0000     33.7813     118.0000    12.0000     118.3750
193   T03324L11812      33.0000     24.0000     33.7500     118.0000    12.0000     118.3750
194   T03406L11811      34.0000     6.0000      34.1875     118.0000    11.0000     118.3438
195   T03405L11811      34.0000     5.0000      34.1563     118.0000    11.0000     118.3438
196   T03404L11811      34.0000     4.0000      34.1250     118.0000    11.0000     118.3438
197   T03403L11811      34.0000     3.0000      34.0938     118.0000    11.0000     118.3438
198   T03402L11811      34.0000     2.0000      34.0625     118.0000    11.0000     118.3438
199   T03401L11811      34.0000     1.0000      34.0313     118.0000    11.0000     118.3438
200   T03400L11811      34.0000     0.0000      34.0000     118.0000    11.0000     118.3438
201   T03328L11811      33.0000     28.0000     33.8750     118.0000    11.0000     118.3438
202   T03327L11811      33.0000     27.0000     33.8438     118.0000    11.0000     118.3438
203   T03326L11811      33.0000     26.0000     33.8125     118.0000    11.0000     118.3438
204   T03325L11811      33.0000     25.0000     33.7813     118.0000    11.0000     118.3438
205   T03324L11811      33.0000     24.0000     33.7500     118.0000    11.0000     118.3438
206   T03416L11810      34.0000     16.0000     34.5000     118.0000    10.0000     118.3125
207   T03414L11810      34.0000     14.0000     34.4375     118.0000    10.0000     118.3125
208   T03412L11810      34.0000     12.0000     34.3750     118.0000    10.0000     118.3125
209   T03410L11810      34.0000     10.0000     34.3125     118.0000    10.0000     118.3125
210   T03408L11810      34.0000     8.0000      34.2500     118.0000    10.0000     118.3125
211   T03406L11810      34.0000     6.0000      34.1875     118.0000    10.0000     118.3125
212   T03405L11810      34.0000     5.0000      34.1563     118.0000    10.0000     118.3125
213   T03404L11810      34.0000     4.0000      34.1250     118.0000    10.0000     118.3125
214   T03403L11810      34.0000     3.0000      34.0938     118.0000    10.0000     118.3125
215   T03402L11810      34.0000     2.0000      34.0625     118.0000    10.0000     118.3125
216   T03401L11810      34.0000     1.0000      34.0313     118.0000    10.0000     118.3125
217   T03400L11810      34.0000     0.0000      34.0000     118.0000    10.0000     118.3125
218   T03330L11810      33.0000     30.0000     33.9375     118.0000    10.0000     118.3125
219   T03328L11810      33.0000     28.0000     33.8750     118.0000    10.0000     118.3125
220   T03327L11810      33.0000     27.0000     33.8438     118.0000    10.0000     118.3125
221   T03326L11810      33.0000     26.0000     33.8125     118.0000    10.0000     118.3125
222   T03325L11810      33.0000     25.0000     33.7813     118.0000    10.0000     118.3125
223   T03324L11810      33.0000     24.0000     33.7500     118.0000    10.0000     118.3125
224   T03323L11810      33.0000     23.0000     33.7188     118.0000    10.0000     118.3125
225   T03406L11809      34.0000     6.0000      34.1875     118.0000    9.0000      118.2813
226   T03405L11809      34.0000     5.0000      34.1563     118.0000    9.0000      118.2813
227   T03404L11809      34.0000     4.0000      34.1250     118.0000    9.0000      118.2813
228   T03403L11809      34.0000     3.0000      34.0938     118.0000    9.0000      118.2813
229   T03402L11809      34.0000     2.0000      34.0625     118.0000    9.0000      118.2813
230   T03401L11809      34.0000     1.0000      34.0313     118.0000    9.0000      118.2813
231   T03400L11809      34.0000     0.0000      34.0000     118.0000    9.0000      118.2813
232   T03328L11809      33.0000     28.0000     33.8750     118.0000    9.0000      118.2813
233   T03327L11809      33.0000     27.0000     33.8438     118.0000    9.0000      118.2813
234   T03326L11809      33.0000     26.0000     33.8125     118.0000    9.0000      118.2813
235   T03325L11809      33.0000     25.0000     33.7813     118.0000    9.0000      118.2813
236   T03324L11809      33.0000     24.0000     33.7500     118.0000    9.0000      118.2813
237   T03323L11809      33.0000     23.0000     33.7188     118.0000    9.0000      118.2813
238   T03416L11808      34.0000     16.0000     34.5000     118.0000    8.0000      118.2500
239   T03414L11808      34.0000     14.0000     34.4375     118.0000    8.0000      118.2500
240   T03412L11808      34.0000     12.0000     34.3750     118.0000    8.0000      118.2500
241   T03410L11808      34.0000     10.0000     34.3125     118.0000    8.0000      118.2500
242   T03408L11808      34.0000     8.0000      34.2500     118.0000    8.0000      118.2500
243   T03406L11808      34.0000     6.0000      34.1875     118.0000    8.0000      118.2500
244   T03405L11808      34.0000     5.0000      34.1563     118.0000    8.0000      118.2500
245   T03404L11808      34.0000     4.0000      34.1250     118.0000    8.0000      118.2500
246   T03403L11808      34.0000     3.0000      34.0938     118.0000    8.0000      118.2500
247   T03402L11808      34.0000     2.0000      34.0625     118.0000    8.0000      118.2500
248   T03401L11808      34.0000     1.0000      34.0313     118.0000    8.0000      118.2500
249   T03400L11808      34.0000     0.0000      34.0000     118.0000    8.0000      118.2500
250   T03330L11808      33.0000     30.0000     33.9375     118.0000    8.0000      118.2500
251   T03328L11808      33.0000     28.0000     33.8750     118.0000    8.0000      118.2500
252   T03327L11808      33.0000     27.0000     33.8438     118.0000    8.0000      118.2500
253   T03326L11808      33.0000     26.0000     33.8125     118.0000    8.0000      118.2500
254   T03325L11808      33.0000     25.0000     33.7813     118.0000    8.0000      118.2500
255   T03324L11808      33.0000     24.0000     33.7500     118.0000    8.0000      118.2500
256   T03406L11807      34.0000     6.0000      34.1875     118.0000    7.0000      118.2188
257   T03405L11807      34.0000     5.0000      34.1563     118.0000    7.0000      118.2188
258   T03404L11807      34.0000     4.0000      34.1250     118.0000    7.0000      118.2188
259   T03403L11807      34.0000     3.0000      34.0938     118.0000    7.0000      118.2188
260   T03402L11807      34.0000     2.0000      34.0625     118.0000    7.0000      118.2188
261   T03401L11807      34.0000     1.0000      34.0313     118.0000    7.0000      118.2188
262   T03400L11807      34.0000     0.0000      34.0000     118.0000    7.0000      118.2188
263   T03328L11807      33.0000     28.0000     33.8750     118.0000    7.0000      118.2188
264   T03327L11807      33.0000     27.0000     33.8438     118.0000    7.0000      118.2188
265   T03326L11807      33.0000     26.0000     33.8125     118.0000    7.0000      118.2188
266   T03325L11807      33.0000     25.0000     33.7813     118.0000    7.0000      118.2188
267   T03324L11807      33.0000     24.0000     33.7500     118.0000    7.0000      118.2188
268   T03408L11806      34.0000     8.0000      34.2500     118.0000    6.0000      118.1875
269   T03406L11806      34.0000     6.0000      34.1875     118.0000    6.0000      118.1875
270   T03405L11806      34.0000     5.0000      34.1563     118.0000    6.0000      118.1875
271   T03404L11806      34.0000     4.0000      34.1250     118.0000    6.0000      118.1875
272   T03403L11806      34.0000     3.0000      34.0938     118.0000    6.0000      118.1875
273   T03402L11806      34.0000     2.0000      34.0625     118.0000    6.0000      118.1875
274   T03401L11806      34.0000     1.0000      34.0313     118.0000    6.0000      118.1875
275   T03400L11806      34.0000     0.0000      34.0000     118.0000    6.0000      118.1875
276   T03330L11806      33.0000     30.0000     33.9375     118.0000    6.0000      118.1875
277   T03328L11806      33.0000     28.0000     33.8750     118.0000    6.0000      118.1875
278   T03327L11806      33.0000     27.0000     33.8438     118.0000    6.0000      118.1875
279   T03326L11806      33.0000     26.0000     33.8125     118.0000    6.0000      118.1875
280   T03325L11806      33.0000     25.0000     33.7813     118.0000    6.0000      118.1875
281   T03324L11806      33.0000     24.0000     33.7500     118.0000    6.0000      118.1875
